0.7	0.75	0.2	0.25	0.8	0.85	0.1	0.15	0.65	0.7	0.25	0.3
0.65	0.7	0.25	0.3	0.75	0.8	0.15	0.2	0.7	0.75	0.2	0.25
0.75	0.8	0.15	0.2	0.7	0.75	0.2	0.25	0.75	0.8	0.15	0.2
0.1	0.15	0.7	0.8	0.15	0.2	0.6	0.75	0.25	0.3	0.6	0.65
0.15	0.2	0.7	0.75	0.1	0.15	0.65	0.8	0.25	0.3	0.65	0.7
0.1	0.15	0.8	0.85	0.25	0.3	0.6	0.65	0.2	0.25	0.7	0.7
0.8	0.85	0.1	0.12	0.75	0.78	0.2	0.22	0.6	0.65	0.3	0.35
0.8	0.85	0.1	0.15	0.8	0.85	0.1	0.15	0.7	0.75	0.2	0.25
0.65	0.7	0.25	0.27	0.6	0.65	0.3	0.35	0.85	0.9	0.05	0.1
0.7	0.75	0.13	0.15	0.65	0.7	0.25	0.27	0.6	0.63	0.35	0.37
0.7	0.8	0.18	0.2	0.8	0.85	0.1	0.15	0.65	0.65	0.25	0.28
0.6	0.7	0.25	0.27	0.75	0.75	0.24	0.25	0.6	0.8	0.15	0.19
